ax,ay,az,accTotal,accChange,label
0.4304,-0.1626,0.8743,0.9879,0.0193,accident
0.4438,-0.1331,0.8472,0.9656,0.0223,accident
0.4250,-0.1431,0.9055,1.0105,0.0449,accident
0.4380,-0.1228,0.8745,0.9857,0.0248,accident
0.4495,-0.1194,0.8738,0.9898,0.0041,accident
0.4451,-0.1370,0.8752,0.9914,0.0016,accident
0.4314,-0.1492,0.8904,1.0006,0.0092,accident
0.4473,-0.1541,0.8462,0.9694,0.0311,accident
0.6301,-0.1174,0.8340,1.0518,0.0824,accident
-0.6792,0.0413,0.9937,1.2043,0.1525,accident
1.8416,-0.5637,0.8115,2.0899,0.8856,accident
0.0208,-0.4614,1.0188,1.1186,0.9713,accident
-0.1609,-0.2466,0.5703,0.6418,0.4768,accident
0.4170,-0.6819,0.8193,1.1446,0.5028,accident
-0.6125,-0.0964,0.5725,0.8440,0.3007,accident
1.3931,-0.6182,0.9712,1.8072,0.9632,accident
-0.7407,0.0588,0.5818,0.9437,0.8635,accident
1.9999,-0.3967,1.1396,2.3358,1.3921,accident
-0.8953,-0.1794,0.9980,1.3527,0.9831,accident
1.5056,-0.4893,1.6077,2.2563,0.9036,accident
-0.9648,-0.2300,1.1426,1.5130,0.7432,accident
1.3530,-0.5486,1.3870,2.0138,0.5007,accident
-0.5627,-0.4500,1.0032,1.2351,0.7787,accident
0.6794,-0.4480,0.9622,1.2602,0.0251,accident
0.3442,-0.6853,0.8098,1.1153,0.1449,accident
0.4204,-0.0945,0.8101,0.9175,0.1978,accident
-1.1086,-1.2944,0.1384,1.7099,0.7924,accident
1.7668,-1.2256,1.1289,2.4286,0.7187,accident
0.3567,-0.1938,0.6404,0.7582,1.6704,accident
0.3762,-0.3037,1.0872,1.1898,0.4316,accident
-0.5176,1.2778,1.4775,2.0209,0.8310,accident
1.9999,-1.3499,1.0479,2.6306,0.6097,accident
0.3755,-0.3032,0.5730,0.7492,1.8814,accident
-0.1599,-0.1108,1.0647,1.0823,0.3332,accident
-2.0000,0.6868,1.3088,2.4869,1.4046,accident
1.0269,-0.9004,1.3911,1.9494,0.5375,accident
0.3521,-0.4705,0.7063,0.9188,1.0307,accident
0.2192,-0.5645,0.6646,0.8991,0.0197,accident
0.3127,-0.2808,1.0042,1.0886,0.1895,accident
0.3359,1.1772,1.5063,1.9411,0.8525,accident
1.9999,-2.0000,0.6318,2.8981,0.9570,accident
0.4094,-0.4326,0.3938,0.7140,2.1841,accident
0.4272,-0.7290,0.9255,1.2532,0.5392,accident
0.1685,-0.4814,0.9763,1.1015,0.1517,accident
-0.3784,0.1833,1.2471,1.3161,0.2145,accident
-0.0303,0.5100,0.9773,1.1028,0.2133,accident
1.2524,-1.0449,0.5603,1.7246,0.6219,accident
0.6155,-0.5166,0.6365,1.0251,0.6996,accident
0.2986,-0.4409,0.9221,1.0648,0.0397,accident
0.1970,-0.3330,1.0452,1.1145,0.0497,accident
-1.9790,1.9999,0.1255,2.8164,1.7019,accident
-0.3015,-1.3081,0.5405,1.4471,1.3692,accident
0.6453,1.3740,0.7561,1.6959,0.2487,accident
1.9999,-2.0000,1.9999,3.4640,1.7682,accident
-0.0493,0.1631,0.1995,0.2623,3.2017,accident
0.3604,-0.4900,1.0876,1.2462,0.9838,accident
0.3979,-0.1826,0.8684,0.9725,0.2736,accident
0.3643,-0.2534,0.9153,1.0172,0.0446,accident
0.4314,-0.2092,0.8489,0.9749,0.0423,accident
1.9999,-0.5200,0.6846,2.1769,1.2020,accident
-1.9331,0.4700,1.2563,2.3529,0.1760,accident
0.2500,-0.2148,0.8191,0.8829,1.4700,accident
-0.0615,0.0203,0.8684,0.8708,0.0121,accident
-0.1274,-0.2434,0.6501,0.7058,0.1650,accident
0.6758,-2.0000,0.4062,2.1498,1.4440,accident
0.3020,-0.4412,0.9036,1.0499,1.0999,accident
-0.0530,-0.0007,0.7656,0.7675,0.2824,accident
-0.7021,0.1096,0.3997,0.8153,0.0479,accident
1.9999,-1.5776,1.6592,3.0400,2.2247,accident
-0.3281,0.0854,0.9451,1.0041,2.0359,accident
-0.0662,-0.1165,1.1526,1.1603,0.1563,accident
0.1470,-0.2263,1.0188,1.0539,0.1064,accident
1.4377,0.1636,1.0479,1.7866,0.7326,accident
-1.3474,0.0603,0.5149,1.4437,0.3429,accident
0.9131,-0.6846,1.3159,1.7418,0.2981,accident
-0.0959,-0.9229,0.8484,1.2572,0.4846,accident
0.7187,-1.3115,0.5234,1.5845,0.3273,accident
-0.3564,-1.1265,0.6846,1.3655,0.2190,accident
1.0745,-0.9065,0.5903,1.5247,0.1592,accident
-0.6052,-1.0825,0.5457,1.3549,0.1697,accident
1.1658,-1.1228,0.6658,1.7501,0.3952,accident
-0.2173,-1.2651,0.7097,1.4668,0.2833,accident
0.1035,-0.8726,0.0752,0.8819,0.5849,accident
1.1431,-0.8962,0.8638,1.6900,0.8081,accident
-1.3140,0.3254,0.6772,1.5136,0.1763,accident
1.1208,-0.5735,0.9883,1.6006,0.0870,accident
0.7190,-0.3574,0.8743,1.1870,0.4136,accident
0.5718,0.2036,0.8711,1.0617,0.1253,accident
-1.1609,-0.2119,-0.7263,1.3857,0.3240,accident
1.0847,-1.0596,0.9211,1.7742,0.3885,accident
0.3274,0.4221,0.6995,0.8801,0.8941,accident
-1.0376,-0.6584,-0.4590,1.3118,0.4317,accident
0.1650,-1.1667,1.0068,1.5499,0.2381,accident
-0.7524,1.5396,0.5417,1.7972,0.2473,accident
1.9999,-2.0000,1.2773,3.1034,1.3063,accident
0.2268,0.0769,0.3384,0.4146,2.6889,accident
-1.4585,0.6155,-0.5615,1.6797,1.2651,accident
0.7800,-1.7822,1.2390,2.3065,0.6268,accident
-0.0532,1.0203,0.1838,1.0381,1.2684,accident
-0.2551,-2.0000,0.3804,2.0518,1.0137,accident
0.4014,-0.6379,1.1624,1.3853,0.6664,accident
-0.8320,1.2014,-0.0823,1.4637,0.0784,accident
1.9999,-2.0000,1.5686,3.2342,1.7705,accident
0.1396,-0.1387,0.7964,0.8203,2.4139,accident
-1.2466,1.1052,-0.1194,1.6703,0.8499,accident
1.9999,-2.0000,0.7681,2.9308,1.2606,accident
0.0562,-0.2913,0.8252,0.8769,2.0539,accident
-0.7549,0.7166,0.6736,1.2398,0.3629,accident
1.9999,-1.3535,1.9999,3.1355,1.8958,accident
-0.7412,1.3223,1.0334,1.8346,1.3009,accident
-0.3013,-1.7051,-0.0952,1.7341,0.1005,accident
0.8049,-0.6003,0.6101,1.1750,0.5591,accident
-1.6772,0.4990,0.3101,1.7772,0.6022,accident
1.5867,-1.7490,1.1099,2.6093,0.8321,accident
0.1738,-0.3765,0.7236,0.8340,1.7753,accident
-2.0000,0.3582,0.8542,2.2041,1.3701,accident
1.9999,-0.3096,0.8557,2.1972,0.0069,accident
-1.8274,-0.1299,0.8997,2.0410,0.1562,accident
0.7771,-0.8796,0.3003,1.2115,0.8294,accident
-0.2473,-0.5273,0.7241,0.9293,0.2822,accident
-0.1626,-0.3542,-0.0574,0.3940,0.5353,accident
0.8550,-1.0063,0.9922,1.6517,1.2577,accident
-0.3550,0.5564,0.5911,0.8860,0.7657,accident
-1.7236,0.2268,0.0791,1.7403,0.8543,accident
1.4744,-0.9910,1.3623,2.2387,0.4984,accident
-0.6750,0.5742,0.6143,1.0783,1.1604,accident
0.0762,-0.6853,0.2537,0.7347,0.3436,accident
0.5757,-0.4146,1.0242,1.2459,0.5112,accident
-1.0996,0.6108,0.8965,1.5447,0.2988,accident
-0.2363,-0.4922,0.2173,0.5876,0.9570,accident
0.5908,-0.4744,0.4131,0.8630,0.2753,accident
