ax,ay,az,accTotal,accChange,label
-0.0100,0.1296,0.9792,0.9878,0.0131,normal
-0.0134,0.1270,0.9712,0.9795,0.0083,normal
-0.0098,0.1260,0.9700,0.9782,0.0014,normal
-0.0188,0.1438,0.9951,1.0056,0.0275,normal
-0.0090,0.1277,0.9729,0.9813,0.0243,normal
-0.0100,0.1255,0.9685,0.9767,0.0046,normal
-0.0107,0.1296,0.9670,0.9758,0.0009,normal
0.0010,0.1741,1.0349,1.0494,0.0737,normal
0.0315,0.0962,1.0391,1.0440,0.0055,normal
0.0317,-0.0176,1.0608,1.0614,0.0174,normal
0.0664,-0.0779,0.9646,0.9700,0.0914,normal
0.0564,-0.1956,1.0754,1.0945,0.1245,normal
-0.0320,0.0234,0.8450,0.8459,0.2486,normal
0.0007,0.2505,1.0725,1.1014,0.2555,normal
0.1323,0.4189,0.7192,0.8428,0.2586,normal
0.0093,0.6040,0.6958,0.9214,0.0786,normal
0.0266,0.5403,0.7881,0.9559,0.0344,normal
-0.0017,0.5503,0.8318,0.9973,0.0415,normal
-0.0046,0.4814,0.8359,0.9647,0.0327,normal
-0.0181,0.4241,0.8677,0.9659,0.0013,normal
-0.0603,0.4163,0.9155,1.0075,0.0416,normal
-0.0686,0.4155,0.9390,1.0291,0.0216,normal
-0.0947,0.5002,0.8867,1.0225,0.0066,normal
-0.0320,0.5254,0.8152,0.9704,0.0521,normal
0.0640,0.5588,0.7634,0.9483,0.0221,normal
0.1458,0.5945,0.7542,0.9713,0.0230,normal
0.1384,0.6589,0.7144,0.9817,0.0104,normal
0.0906,0.6804,0.6521,0.9468,0.0349,normal
0.2439,0.6912,0.5505,0.9167,0.0301,normal
0.2107,0.6741,0.5864,0.9180,0.0013,normal
0.1465,0.6074,0.6729,0.9182,0.0003,normal
0.1033,0.4526,0.6890,0.8308,0.0874,normal
-0.1079,0.3162,0.9280,0.9863,0.1555,normal
-0.2070,0.2847,1.1621,1.2142,0.2280,normal
-0.0874,0.1753,0.8870,0.9083,0.3059,normal
-0.0088,-0.1470,1.0181,1.0287,0.1203,normal
0.0947,-0.3818,1.0020,1.0764,0.0478,normal
0.3074,-0.5322,0.8555,1.0534,0.0231,normal
0.4414,-0.5337,0.6978,0.9831,0.0702,normal
0.5625,-0.5347,0.5342,0.9421,0.0410,normal
0.6294,-0.4531,0.5510,0.9514,0.0092,normal
0.8052,-0.2974,0.5715,1.0312,0.0798,normal
0.8596,-0.1187,0.4631,0.9836,0.0476,normal
0.8823,0.0308,0.4255,0.9801,0.0036,normal
0.8826,0.1729,0.3826,0.9773,0.0027,normal
0.7825,0.3123,0.3757,0.9225,0.0549,normal
0.7424,0.3682,0.7590,1.1238,0.2013,normal
0.5728,0.4226,0.6292,0.9500,0.1738,normal
0.4795,0.4270,0.6245,0.8957,0.0543,normal
0.2910,0.4863,0.7104,0.9088,0.0131,normal
0.1309,0.5046,0.8020,0.9566,0.0477,normal
0.0493,0.4170,1.1433,1.2180,0.2614,normal
-0.2549,0.5212,0.7937,0.9832,0.2348,normal
-0.3535,0.4470,0.8350,1.0109,0.0278,normal
-0.4729,0.5244,0.6860,0.9845,0.0264,normal
-0.5759,0.5017,0.6516,1.0040,0.0195,normal
